 	111	186	50	0	0
A	1010	64	45	0	0
B	100000	13	33	0	0
C	00000	22	37	0	0
D	10110	32	39	0	0
E	010	103	48	0	0
F	110011	21	36	0	0
G	100001	15	33	0	0
H	0001	47	41	0	0
I	0110	57	43	0	0
J	1100001000	1	28	0	0
K	11000011	5	31	0	0
L	10111	32	39	0	0
M	110010	20	36	0	0
N	0111	57	43	0	0
O	1001	63	44	0	0
P	100010	15	34	0	0
Q	1100001001	1	28	0	0
R	0010	48	42	0	0
S	0011	51	42	0	0
T	1101	80	46	0	0
U	00001	23	37	0	0
V	1100000	8	32	0	0
W	110001	18	35	0	0
X	1100001010	1	29	0	0
Y	100011	16	34	0	0
Z	1100001011	1	29	0	0
*	110000100	2	30	11	18
*	110000101	2	30	25	27
*	11000010	4	31	28	29
*	1100001	9	32	30	12
*	110000	17	35	23	31
*	10000	28	38	3	8
*	10001	31	38	17	26
*	11000	35	40	32	24
*	11001	41	40	14	7
*	0000	45	41	4	22
*	1000	59	44	33	34
*	1011	64	45	5	13
*	1100	76	46	35	36
*	000	92	47	37	9
*	001	99	47	19	20
*	011	114	48	10	15
*	100	122	49	38	16
*	101	128	49	2	39
*	110	156	50	40	21
*	00	191	51	41	42
*	01	217	51	6	43
*	10	250	52	44	45
*	11	342	52	46	1
*	0	408	53	47	48
*	1	592	53	49	50
*		1000	0	51	52
